factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4
-0.02237953 -0.07928379 1.291725 1.421392
0.03540187 -0.07154947 1.368291 1.492297
0.0559389 0.004960537 1.288877 1.515193
0.09005358 -0.04731639 1.250501 1.458679
0.03160311 -0.03138093 1.316417 1.466765
0.01452881 -0.03025207 1.369047 1.474771
-0.004652917 -0.1009846 1.322054 1.394489
0.03791952 -0.01129036 1.278877 1.306777
0.05108661 -0.03501226 1.145824 1.373078
0.04961601 0.0451675 1.205769 1.365228
0.02914472 -0.04058818 1.145059 1.266529
0.05937687 -0.02327652 1.175422 1.142607
0.09267317 -0.05269133 1.235755 1.312749
0.06820444 -0.01528159 1.132623 1.306548
0.07299204 0.04490371 1.17864 1.314088
0.07491853 -0.03060804 0.9764489 1.223663
0.05278778 -0.02082873 0.9370864 1.241233
0.02862202 -0.01389734 0.9274247 1.283269
0.02639679 -0.01911367 0.8499433 1.305701
0.03538505 -0.04034428 0.7653363 1.480218
0.05237781 -0.06683277 0.7393 1.333201
0.02805595 -0.006702098 0.8138142 1.315407
0.08029656 0.01639217 0.6027874 1.335414
0.07987479 -0.01668072 0.5627835 1.275146
0.07048132 0.003405393 0.7244662 1.317307
0.0873978 -0.05518318 0.7292093 1.233795
0.02704534 -0.04457191 0.7027096 1.1295
0.04336789 -0.04024157 0.7506926 1.34136
0.07921754 -0.04462721 0.7860916 1.331953
0.05906034 -0.04369856 0.7635741 1.367849
0.04047452 -0.008143699 0.8160923 1.527857
0.0525964 0.02049041 0.8124377 1.504164
0.06372143 -0.07821713 0.8036069 1.320918
0.04470051 -0.05030793 0.854127 1.221065
0.05179052 -0.07003817 0.8502526 1.32196
0.05629585 -0.09128986 0.9460908 1.310951
0.02420952 -0.06616654 0.9479123 1.331807
0.0362659 -0.06856003 0.8970986 1.238774
0.08259729 0.009225942 0.9210539 1.17337
0.01792225 -0.07331499 0.8895559 1.231405
0.03137529 -0.006180319 0.9532602 1.295309
0.08189937 -0.02397162 0.9221302 1.454089
0.05375598 -0.01606409 0.933424 1.276307
0.01956375 -0.08887085 0.9651824 1.165031
0.04135667 -0.09224089 1.035385 1.090231
0.04492663 -0.007806579 1.086181 1.044553
-0.002655375 -0.003940286 0.9804696 0.9234624
0.05103817 0.007724431 1.004728 0.7516008
0.04406782 -0.05643021 1.060578 0.9193534
0.003194144 -0.07740344 1.057291 0.7572764
0.09341675 -0.004226021 1.218676 0.7591215
0.04940501 -0.04618164 1.206556 0.8446568
0.06043815 -0.0498002 1.136897 0.8859431
0.04386705 -0.04287344 1.07911 0.9828185
0.0736025 -0.04383319 1.072062 1.048022
0.08542815 -0.02579759 1.091256 1.179075
0.06594967 0.00814941 1.147451 1.072344
0.07039779 -0.0479429 1.241055 1.039092
0.08495636 -0.07828244 1.251981 1.124221
0.07299817 -0.01109724 1.304154 1.037656
0.03542382 -0.01738022 1.410429 0.9913378
0.04118732 -0.003177106 1.33481 1.07662
0.01879518 -0.04354693 1.378454 1.10848
0.0519578 -0.01817924 1.350078 1.141632
0.09301774 -0.04088494 1.459442 1.215687
0.1012107 0.03868046 1.501899 1.350103
0.04867385 -0.05708467 1.403648 1.432792
0.07571477 -0.008558662 1.433532 1.508172
0.0856083 -0.01927907 1.560809 1.39294
0.08557015 -0.0651717 1.625153 1.486019
0.06771099 -0.02994971 1.57131 1.449606
0.08821875 -0.02668284 1.562298 1.505571
0.08611126 -0.04351048 1.612088 1.436182
0.04654886 -0.0437504 1.692502 1.556566
0.05217386 -0.05344435 1.696527 1.568267
0.1491284 -0.06461808 1.715707 1.530131
0.06760694 -0.02063876 1.702562 1.595756
0.06051648 -0.01944747 1.671428 1.460742
0.03642172 -0.0759279 1.567974 1.534202
0.03446192 0.008082418 1.585284 1.620413
0.04556778 -0.0475048 1.687911 1.652508
0.07148646 -0.04448547 1.716655 1.585345
0.01897551 -0.003631521 1.697475 1.677234
0.03583617 -0.005511767 1.654345 1.742328
0.04488145 -0.05327893 1.673288 1.901797
0.02660581 -0.04136349 1.696447 2.120888
0.07437201 -0.04708068 1.782703 2.254996
0.03230429 -0.04833184 1.896866 2.33053
0.06177082 -0.0433186 2.07079 2.470112
0.0497181 -0.08474887 2.082293 2.469195
-0.004596886 -0.02089841 2.119578 2.553628
0.07778153 -0.0605085 1.995278 2.561112
0.0952477 0.001915308 1.994983 2.475655
0.1317121 -0.009832281 2.050605 2.457984
0.07264797 -0.02045433 2.107309 2.558323
-0.00660667 -0.01573193 2.085613 2.502799
0.03659158 -0.04090415 2.139484 2.427048
0.03614486 -0.03187269 2.187176 2.40252
0.0782156 -0.0851507 2.254889 2.409128
0.03778208 -0.06500109 2.12211 2.386601
0.03557743 -0.08251329 2.155914 2.292435
0.09878253 -0.01056211 2.15828 2.141256
0.04383625 -0.0850771 2.151012 1.957316
0.09328172 -0.02476527 2.114612 1.938958
0.03129388 -0.01241659 2.208379 1.768665
0.01117645 -0.0557259 2.197913 1.709678
0.006373671 -0.07027984 2.190809 1.712876
-0.02249648 -0.1082333 2.102044 1.54481
-0.01490123 -0.1029927 2.180102 1.567734
0.01857073 -0.02965192 2.233581 1.675382
0.07375281 -0.0256391 2.196121 1.761337
