X,GID,P1,P2,TraitBLUE,Year,CV
7176,SL18-CC-1-FG1xSL18-CC-4-MG11,SL18-CC-1-FG1,SL18-CC-4-MG11,0.14377424,2020,8
7247,SL18-CC-1-FG1xSL18-NC-15-MG3,SL18-CC-1-FG1,SL18-NC-15-MG3,0.539755977,2020,10
7300,SL18-CC-1-FG1xSL18-OI-16-MG3,SL18-CC-1-FG1,SL18-OI-16-MG3,-0.046586905,2020,1
7515,SL18-CC-1-FG2xSL18-NC-11-MG2,SL18-CC-1-FG2,SL18-NC-11-MG2,-0.071103979,2020,7
7572,SL18-CC-1-FG2xSL18-OI-16-MG1,SL18-CC-1-FG2,SL18-OI-16-MG1,0.378749851,2020,10
7574,SL18-CC-1-FG2xSL18-OI-16-MG3,SL18-CC-1-FG2,SL18-OI-16-MG3,-0.060836453,2020,2
7865,SL18-CC-1-FG3xSL18-OI-9-MG2,SL18-CC-1-FG3,SL18-OI-9-MG2,-0.144670431,2020,2
8072,SL18-CC-10-FG4xSL18-NC-2-MG2,SL18-CC-10-FG4,SL18-NC-2-MG2,0.510035599,2020,1
8231,SL18-CC-11-FG3xSA18-CB-3-MG3,SL18-CC-11-FG3,SA18-CB-3-MG3,1.658506581,2020,9
8271,SL18-CC-11-FG3xSL18-CC-3-MG1,SL18-CC-11-FG3,SL18-CC-3-MG1,-0.039407465,2020,4
8300,SL18-CC-11-FG3xSL18-JS-16-MG1,SL18-CC-11-FG3,SL18-JS-16-MG1,0.416287608,2020,8
8347,SL18-CC-11-FG3xSL18-NC-2-MG3,SL18-CC-11-FG3,SL18-NC-2-MG3,0.633560182,2020,2
8606,SL18-CC-12-FG2xSL18-LL-9-MG4,SL18-CC-12-FG2,SL18-LL-9-MG4,0.94145246,2020,6
8666,SL18-CC-12-FG2xSL18-OI-15-MG2,SL18-CC-12-FG2,SL18-OI-15-MG2,0.906267047,2020,1
8885,SL18-CC-12-FG3xSL18-NC-11-MG2,SL18-CC-12-FG3,SL18-NC-11-MG2,-0.097371254,2020,1
8940,SL18-CC-12-FG3xSL18-OI-15-MG2,SL18-CC-12-FG3,SL18-OI-15-MG2,0.480813902,2020,7
8941,SL18-CC-12-FG3xSL18-OI-15-MG3,SL18-CC-12-FG3,SL18-OI-15-MG3,0.090399503,2020,5
9394,SL18-CC-3-FG1xSL18-JS-11-MG2,SL18-CC-3-FG1,SL18-JS-11-MG2,-0.182443295,2020,6
9401,SL18-CC-3-FG1xSL18-JS-5-MG2,SL18-CC-3-FG1,SL18-JS-5-MG2,0.840692242,2020,10
9405,SL18-CC-3-FG1xSL18-JS-6-MG3,SL18-CC-3-FG1,SL18-JS-6-MG3,0.343744518,2020,4
9491,SL18-CC-3-FG1xSL18-OI-16-MG2,SL18-CC-3-FG1,SL18-OI-16-MG2,0.133503713,2020,10
9595,SL18-CC-3-FG2xSA18-CB-10-MG3,SL18-CC-3-FG2,SA18-CB-10-MG3,1.950234042,2020,4
9603,SL18-CC-3-FG2xSA18-CB-4-MG2,SL18-CC-3-FG2,SA18-CB-4-MG2,0.105245827,2020,6
9752,SL18-CC-3-FG2xSL18-OD-6-MG1,SL18-CC-3-FG2,SL18-OD-6-MG1,0.764268029,2020,6
9757,SL18-CC-3-FG2xSL18-OI-11-MG3,SL18-CC-3-FG2,SL18-OI-11-MG3,0.236301593,2020,8
10028,SL18-CC-3-FG3xSL18-OD-6-MG3,SL18-CC-3-FG3,SL18-OD-6-MG3,0.442661217,2020,4
10228,SL18-CC-5-FG1xSL18-JS-9-MG1,SL18-CC-5-FG1,SL18-JS-9-MG1,-0.004900821,2020,3
10416,SL18-CC-5-FG2xSA18-CB-10-MG1,SL18-CC-5-FG2,SA18-CB-10-MG1,1.88964145,2020,5
10527,SL18-CC-5-FG2xSL18-NC-10-MG2,SL18-CC-5-FG2,SL18-NC-10-MG2,0.18347792,2020,3
10528,SL18-CC-5-FG2xSL18-NC-10-MG2,SL18-CC-5-FG2,SL18-NC-10-MG2,0.18347792,2020,5
10546,SL18-CC-5-FG2xSL18-NC-9-MG2,SL18-CC-5-FG2,SL18-NC-9-MG2,-0.018918927,2020,8
