"Individual" "Female" "Male"
"SL18-NC-1-FG1xSL18-NC-12-MG3" "SL18-NC-1-FG1xSL18-NC-12-MG3" "0" "0"
"SL18-NC-15-FG3xSL18-CC-1-MG2" "SL18-NC-15-FG3xSL18-CC-1-MG2" "0" "0"
"SL18-SF-17-FG2xSL18-NC-12-MG1" "SL18-SF-17-FG2xSL18-NC-12-MG1" "0" "0"
"SL18-LL-9-FG2xSA18-CB-5-MG3" "SL18-LL-9-FG2xSA18-CB-5-MG3" "0" "0"
"SL18-SF-17-FG2xSA18-CB-7-MG3" "SL18-SF-17-FG2xSA18-CB-7-MG3" "0" "0"
"SA18-CB-4-FG6xSL18-JS-6-MG3" "SA18-CB-4-FG6xSL18-JS-6-MG3" "0" "0"
"SL18-CC-3-FG1xSL18-JS-11-MG2" "SL18-CC-3-FG1xSL18-JS-11-MG2" "0" "0"
"SA18-CB-5-FG6xSL18-CC-6-MG2" "SA18-CB-5-FG6xSL18-CC-6-MG2" "0" "0"
"SL18-JS-19-FG3xSL18-OI-17-MG1" "SL18-JS-19-FG3xSL18-OI-17-MG1" "0" "0"
"SL18-OI-17-FG4xSL18-CC-7-MG1" "SL18-OI-17-FG4xSL18-CC-7-MG1" "0" "0"
"SL18-OI-17-FG1xSL18-OI-4-MG1" "SL18-OI-17-FG1xSL18-OI-4-MG1" "0" "0"
"SL18-CC-6-FG2xSL18-OI-11-MG4" "SL18-CC-6-FG2xSL18-OI-11-MG4" "0" "0"
"SL18-JS-9-FG3xSA18-CB-10-MG1" "SL18-JS-9-FG3xSA18-CB-10-MG1" "0" "0"
"SL18-OI-6-FG3xSL18-JS-6-MG1" "SL18-OI-6-FG3xSL18-JS-6-MG1" "0" "0"
"SL18-SF-13-FG2xSL18-JS-11-MG3" "SL18-SF-13-FG2xSL18-JS-11-MG3" "0" "0"
"SL18-JS-19-FG3xSL18-LD-13-MG3" "SL18-JS-19-FG3xSL18-LD-13-MG3" "0" "0"
"SA18-CB-2-FG3xSL18-CC-2-MG5" "SA18-CB-2-FG3xSL18-CC-2-MG5" "0" "0"
"SA18-CB-9-FG1xSL18-OI-7-MG3" "SA18-CB-9-FG1xSL18-OI-7-MG3" "0" "0"
"SL18-CC-3-FG1xSL18-OI-16-MG2" "SL18-CC-3-FG1xSL18-OI-16-MG2" "0" "0"
"SL18-CC-8-FG1xSL18-NC-8-MG2" "SL18-CC-8-FG1xSL18-NC-8-MG2" "0" "0"
